id,atlas_type,type,type_name,sheet,sheet_name,hero_id,hero_star,attr_type,attr_value,comat,des1,des2
1,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,1,2,0,20,1,,
2,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,4,2,0,20,1,,
3,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,5,2,0,20,1,,
4,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,15,2,0,20,1,,
5,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,20,2,0,20,1,,
6,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,59,2,0,20,1,,
7,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,61,2,0,20,1,,
8,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,63,2,0,20,1,,
9,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,69,2,0,20,1,,
10,1,1,sheet_atlas.type11,1002,sheet_atlas.sheet1002,98,2,0,20,1,,
11,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,3,3,3,2,1,,
12,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,8,3,3,2,1,,
13,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,9,3,3,2,1,,
14,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,10,3,3,2,1,,
15,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,12,3,3,2,1,,
16,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,13,3,3,2,1,,
17,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,16,3,3,2,1,,
18,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,17,3,3,2,1,,
19,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,24,3,3,2,1,,
20,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,29,3,3,2,1,,
21,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,30,3,3,2,1,,
22,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,31,3,3,2,1,,
23,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,33,3,3,2,1,,
24,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,34,3,3,2,1,,
25,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,36,3,3,2,1,,
26,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,43,3,3,2,1,,
27,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,60,3,3,2,1,,
28,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,65,3,3,2,1,,
29,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,66,3,3,2,1,,
30,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,99,3,3,2,1,,
31,1,1,sheet_atlas.type11,1003,sheet_atlas.sheet1003,136,3,3,2,1,,
32,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,11,4,1;2,2;2,1,,
33,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,14,4,1;2,2;2,1,,
34,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,18,4,1;2,2;2,1,,
35,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,27,4,1;2,2;2,1,,
36,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,32,4,1;2,2;2,1,,
37,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,35,4,1;2,2;2,1,,
38,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,37,4,1;2,2;2,1,,
39,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,42,4,1;2,2;2,1,,
40,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,100,4,1;2,2;2,1,,
41,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,102,4,1;2,2;2,1,,
42,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,109,4,1;2,2;2,1,,
43,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,115,4,1;2,2;2,1,,
44,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,117,4,1;2,2;2,1,,
45,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,119,4,1;2,2;2,1,,
46,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,122,4,1;2,2;2,1,,
47,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,124,4,1;2,2;2,1,,
48,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,125,4,1;2,2;2,1,,
49,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,129,4,1;2,2;2,1,,
50,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,146,4,1;2,2;2,1,,
51,1,1,sheet_atlas.type11,1004,sheet_atlas.sheet1004,147,4,1;2,2;2,1,,
52,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,23,4,1;2;3,2;2;2,1,,
53,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,101,4,1;2;3,2;2;2,1,,
54,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,49,5,1;2;3,2;2;2,1,,
55,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,103,5,1;2;3,2;2;2,1,,
56,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,104,5,1;2;3,2;2;2,1,,
57,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,105,5,1;2;3,2;2;2,1,,
58,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,107,5,1;2;3,2;2;2,1,,
59,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,108,5,1;2;3,2;2;2,1,,
60,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,110,5,1;2;3,2;2;2,1,,
61,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,112,5,1;2;3,2;2;2,1,,
62,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,120,5,1;2;3,2;2;2,1,,
63,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,121,5,1;2;3,2;2;2,1,,
64,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,128,5,1;2;3,2;2;2,1,,
65,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,130,5,1;2;3,2;2;2,1,,
66,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,131,5,1;2;3,2;2;2,1,,
67,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,133,5,1;2;3,2;2;2,1,,
68,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,134,5,1;2;3,2;2;2,1,,
69,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,137,5,1;2;3,2;2;2,1,,
70,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,138,5,1;2;3,2;2;2,1,,
71,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,139,5,1;2;3,2;2;2,1,,
72,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,140,5,1;2;3,2;2;2,1,,
73,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,141,5,1;2;3,2;2;2,1,,
74,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,148,5,1;2;3,2;2;2,1,,
75,1,1,sheet_atlas.type11,1005,sheet_atlas.sheet1005,149,5,1;2;3,2;2;2,1,,
79,1,1,sheet_atlas.type11,1007,sheet_atlas.sheet1007,200,5,1;2;3,2;2;2,1,,
80,1,1,sheet_atlas.type11,1007,sheet_atlas.sheet1007,201,5,1;2;3,2;2;2,1,,
81,1,1,sheet_atlas.type11,1007,sheet_atlas.sheet1007,202,5,1;2;3,2;2;2,1,,
82,1,1,sheet_atlas.type11,1007,sheet_atlas.sheet1007,203,5,1;2;3,2;2;2,1,,
83,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,112,0,,,1,,
84,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,212,0,,,1,,
85,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,312,0,,,1,,
86,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,412,0,,,1,,
87,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,512,0,,,1,,
88,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,122,0,,,1,,
89,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,222,0,,,1,,
90,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,322,0,,,1,,
91,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,422,0,,,1,,
92,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,522,0,,,1,,
93,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,132,0,,,1,,
94,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,232,0,,,1,,
95,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,332,0,,,1,,
96,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,432,0,,,1,,
97,2,1,sheet_atlas.type21,2,sheet_atlas.sheet2002,532,0,,,1,,
98,2,1,sheet_atlas.type21,3,sheet_atlas.sheet2003,113,0,,,1,,
