10011;0,0,0,0
10012;0,0,0,0
10013;0,0,0,0
10014;0,0,0,0
10015;0,0,0,0
10021;0,0,0,0
10022;0,0,0,0
10023;0,0,0,0
10024;0,0,0,0
10025;0,0,0,0
10031;0,0,0,0
10032;0,0,0,0
10033;0,0,0,0
10034;0,0,0,0
10035;0,0,0,0
10041;0,0,0,0
10042;0,0,0,0
10043;0,0,0,0
10044;0,0,0,0
10045;0,0,0,0
10051;0,0,0,0
10052;0,0,0,0
10053;0,0,0,0
10054;0,0,0,0
10055;0,0,0,0
10061;0,0,0,0
10062;0,0,0,0
10063;0,0,0,0
10064;0,0,0,0
10065;0,0,0,0
10066;0,0,0,0
10067;0,0,0,0
10068;0,0,0,0
10069;0,0,0,0
10070;0,0,0,0
10071;0,0,0,0
10072;0,0,0,0
10073;0,0,0,0
10074;0,0,0,0
10075;0,0,0,0
10100;0,0,0,0
10101;0,0,0,0
10102;0,0,0,0
10103;0,0,0,0
10104;0,0,0,0
10105;0,0,0,0
10106;0,0,0,0
10107;0,0,0,0
10108;0,0,0,0
10109;0,0,0,0
10110;0,0,0,0
10111;0,0,0,0
10112;0,0,0,0
10113;0,0,0,0
10114;0,0,0,0
10115;0,0,0,0
10116;0,0,0,0
10117;0,0,0,0
10118;0,0,0,0
10119;0,0,0,0
10120;0,0,0,0
10121;0,0,0,0
10122;0,0,0,0
10123;0,0,0,0
10124;0,0,0,0
10125;0,0,0,0
10126;0,0,0,0
10127;0,0,0,0
10128;0,0,0,0
10129;0,0,0,0
10130;0,0,0,0
10131;0,0,0,0
10132;0,0,0,0
10133;0,0,0,0
10201;0,0,0,0
10202;0,0,0,0
10203;0,0,0,0
10500;0,0,0,0
10600;0,0,0,0
10601;0,0,0,0
10602;0,0,0,0
11;0,0,0,0
14;0,0,0,0
17;0,0,0,0
5;0,0,0,0
6;0,0,0,0
7;0,0,0,0
8;0,0,0,0
9;0,0,0,0
